gender,race,ses,test,homework,tv_games,work,grades,service,sports,music,student_gov,honor,journalism,vocation,income2011
1,5,0.73,47.12,6,3,0,0,0,0,0,0,0,0,0,0
0,0,-0.26,44.62,5,7,0,0,0,0,0,0,0,0,0,0
1,0,-0.57,37.72,99,0,0,1,0,0,0,0,0,0,0,0
1,0,0.57,46.07,2,3,0,1,0,0,0,0,0,0,0,0
1,4,-0.5,36.66,3,3,0,1,0,0,0,0,0,0,0,0
0,2,-0.61,46.74,4,3,0,1,0,0,0,0,0,0,0,0
1,3,-1.01,36.29,9,5,0,1,0,0,0,0,0,0,0,0
1,0,-0.57,39.26,2,8,0,1,0,0,0,0,0,0,0,0
1,0,-1.07,33.88,1,0,0,2,0,0,0,0,0,0,0,0
1,4,-1.23,34.83,1,0,0,2,0,0,0,0,0,0,0,0
1,2,-1.12,37.8,6,0,0,2,0,0,0,0,0,0,0,0
1,0,0.07,37.02,7,1,0,2,0,0,0,0,0,0,0,0
0,3,-0.49,48.27,98,1,0,2,0,0,0,0,0,0,0,0
0,0,-0.4,47.37,0,2,0,2,0,0,0,0,0,0,0,0
1,2,-0.34,38.19,3,2,0,2,0,0,0,0,0,0,0,0
0,4,-0.63,46.06,10,2,0,2,0,0,0,0,0,0,0,0
1,0,0.91,55.78,12,2,0,2,0,0,0,0,0,0,0,0
1,3,-0.52,35.57,2,3,0,2,0,0,0,0,0,0,0,0
0,4,-0.06,49.79,10,3,0,2,0,0,0,0,0,0,0,0
1,6,0.41,45.16,97,3,0,2,0,0,0,0,0,0,0,0
0,5,-0.95,44.98,1,4,0,2,0,0,0,0,0,0,0,0
0,5,-0.45,30.79,3,4,0,2,0,0,0,0,0,0,0,0
1,0,-0.5,42.04,3,4,0,2,0,0,0,0,0,0,0,0
0,0,0.11,54.95,4,4,0,2,0,0,0,0,0,0,0,0
1,5,-0.21,49.03,6,4,0,2,0,0,0,0,0,0,0,0
1,0,-0.93,54.9,12,4,0,2,0,0,0,0,0,0,0,0
0,4,-1.04,61,4,5,0,2,0,0,0,0,0,0,0,0
1,3,-0.33,34.89,6,5,0,2,0,0,0,0,0,0,0,0
1,2,0.07,45.82,7,5,0,2,0,0,0,0,0,0,0,0
0,5,-0.47,36.32,0,6,0,2,0,0,0,0,0,0,0,0
1,0,-0.39,51.07,3,6,0,2,0,0,0,0,0,0,0,0
0,0,-0.69,45.39,9,7,0,2,0,0,0,0,0,0,0,0
0,3,0.67,37.67,3,8,0,2,0,0,0,0,0,0,0,0
1,5,-0.86,33.73,8,8,0,2,0,0,0,0,0,0,0,0
0,5,-0.36,38.39,17,8,0,2,0,0,0,0,0,0,0,0
0,0,-0.62,52.44,25,8,0,2,0,0,0,0,0,0,0,0
0,0,-0.14,40.41,99,8,0,2,0,0,0,0,0,0,0,0
1,5,0.22,49.28,6,2,1,2,0,0,0,0,0,0,0,0
1,0,-0.53,43.58,0,4,1,2,0,0,0,0,0,0,0,0
1,3,-0.64,31.53,4,8,1,2,0,0,0,0,0,0,0,0
0,3,-1.01,36.87,5,1,2,2,0,0,0,0,0,0,0,0
1,0,0.32,37.56,2,5,2,2,0,0,0,0,0,0,0,0
1,4,-0.83,43.03,6,1,4,2,0,0,0,0,0,0,0,0
1,0,0.45,52.48,24,1,4,2,0,0,0,0,0,0,0,0
0,0,-1.17,39.8,2,4,4,2,0,0,0,0,0,0,0,0
1,6,-0.82,44.81,3,5,4,2,0,0,0,0,0,0,0,0
1,2,0.59,39.77,3,0,0,3,0,0,0,0,0,0,0,0
1,3,-0.92,39.81,3,0,0,3,0,0,0,0,0,0,0,0
0,2,-0.83,44.24,4,0,0,3,0,0,0,0,0,0,0,0
1,5,-0.32,47.23,4,0,0,3,0,0,0,0,0,0,0,0
1,5,0.16,46.2,5,0,0,3,0,0,0,0,0,0,0,0
0,6,-0.09,52.68,6,0,0,3,0,0,0,0,0,0,0,0
0,0,1.45,56.11,9,0,0,3,0,0,0,0,0,0,0,0
1,0,-0.31,45.95,10,0,0,3,0,0,0,0,0,0,0,0
1,4,0.52,40.06,11,0,0,3,0,0,0,0,0,0,0,0
0,2,1.26,57.99,15,0,0,3,0,0,0,0,0,0,0,0
1,0,-1.13,45.08,2,1,0,3,0,0,0,0,0,0,0,0
1,2,0.64,46.67,4,1,0,3,0,0,0,0,0,0,0,0
0,2,-0.59,47.72,4,1,0,3,0,0,0,0,0,0,0,0
0,2,-1.33,51.52,5,1,0,3,0,0,0,0,0,0,0,0
1,3,-0.77,41.24,4,2,0,3,0,0,0,0,0,0,0,0
1,0,-0.93,32.8,5,2,0,3,0,0,0,0,0,0,0,0
0,2,-0.18,47.84,5,2,0,3,0,0,0,0,0,0,0,0
0,0,-0.99,51.96,6,2,0,3,0,0,0,0,0,0,0,0
0,0,-0.93,38.53,10,2,0,3,0,0,0,0,0,0,0,0
0,0,1.37,62.08,15,2,0,3,0,0,0,0,0,0,0,0
1,0,-0.35,42.52,98,2,0,3,0,0,0,0,0,0,0,0
1,2,-0.53,42.04,2,3,0,3,0,0,0,0,0,0,0,0
0,0,1.07,45.46,2,3,0,3,0,0,0,0,0,0,0,0
0,0,-0.51,33.35,3,3,0,3,0,0,0,0,0,0,0,0
1,0,-1,57.06,3,3,0,3,0,0,0,0,0,0,0,0
1,6,-0.42,32.37,4,3,0,3,0,0,0,0,0,0,0,0
