sex,emotion
M,Anger
M,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Happiness
M,Anger
M,Anger
F,Anger
F,Anger
M,Happiness
M,Anger
F,Anger
F,Happiness
F,Happiness
M,Anger
F,Anger
F,Anger
M,Anger
F,Anger
F,Anger
F,Happiness
M,Anger
M,Anger
F,Anger
M,Anger
M,Anger
F,Happiness
M,Anger
F,Anger
F,Happiness
M,Anger
M,Anger
F,Happiness
M,Anger
M,Anger
F,Anger
F,Happiness
M,Anger
M,Fear
F,Anger
M,Happiness
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Happiness
M,Anger
F,Anger
F,Happiness
F,Anger
F,Anger
F,Anger
M,Anger
F,Happiness
M,Anger
M,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
M,Disgust
M,Anger
F,Anger
F,Anger
M,Anger
M,Disgust
F,Sadness
F,Anger
F,Anger
M,Disgust
F,Anger
F,Anger
M,Anger
F,Anger
F,Anger
F,Anger
M,Anger
M,Anger
F,Disgust
M,Anger
M,Disgust
F,Anger
M,Anger
F,Anger
F,Anger
M,Anger
M,Anger
F,Anger
M,Anger
M,Anger
F,Anger
F,Anger
M,Anger
M,Anger
F,Disgust
M,Disgust
F,Sadness
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
M,Fear
F,Anger
F,Anger
F,Anger
F,Anger
F,Disgust
M,Anger
F,Anger
M,Anger
M,Anger
F,Disgust
F,Anger
F,Disgust
F,Anger
F,Anger
F,Disgust
F,Disgust
M,Anger
M,Anger
F,Disgust
F,Anger
M,Disgust
M,Anger
F,Sadness
F,Anger
F,Anger
M,Disgust
F,Disgust
F,Anger
M,Sadness
F,Anger
F,Sadness
F,Anger
M,Anger
M,Disgust
F,Sadness
M,Anger
M,Anger
F,Anger
M,Sadness
F,Anger
F,Anger
M,Anger
M,Anger
F,Sadness
M,Disgust
M,Disgust
F,Anger
F,Anger
M,Anger
M,Sadness
F,Anger
M,Disgust
F,Sadness
F,Sadness
F,Anger
F,Sadness
F,Disgust
F,Anger
F,Anger
M,Anger
F,Anger
F,Anger
F,Sadness
F,Anger
F,Sadness
M,Sadness
F,Anger
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Anger
M,Anger
F,Anger
F,Sadness
F,Anger
F,Happiness
F,Anger
F,Anger
F,Anger
M,Disgust
M,Anger
F,Anger
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Anger
F,Anger
F,Fear
M,Anger
F,Anger
F,Anger
F,Happiness
M,Anger
M,Anger
F,Anger
M,Happiness
M,Happiness
F,Sadness
M,Surprise
F,Happiness
F,Anger
M,Happiness
M,Anger
F,Anger
M,Anger
M,Happiness
F,Happiness
F,Happiness
M,Anger
M,Happiness
F,Anger
M,Happiness
F,Happiness
F,Happiness
F,Anger
F,Anger
F,Happiness
F,Anger
F,Anger
M,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Happiness
M,Anger
F,Happiness
M,Surprise
M,Happiness
F,Anger
F,Disgust
F,Anger
F,Anger
F,Anger
F,Disgust
F,Happiness
M,Anger
M,Happiness
F,Happiness
F,Fear
M,Happiness
M,Anger
F,Happiness
F,Happiness
F,Happiness
M,Fear
F,Anger
F,Anger
M,Anger
F,Happiness
F,Fear
F,Anger
M,Happiness
M,Surprise
F,Anger
M,Disgust
M,Happiness
F,Fear
M,Happiness
F,Happiness
F,Anger
M,Anger
M,Fear
F,Happiness
M,Anger
M,Anger
F,Anger
F,Disgust
M,Disgust
M,Fear
F,Happiness
M,Happiness
F,Anger
F,Anger
F,Fear
F,Happiness
F,Anger
F,Happiness
F,Anger
M,Anger
F,Disgust
F,Disgust
F,Anger
F,Happiness
F,Happiness
M,Happiness
F,Anger
M,Anger
M,Anger
F,Anger
F,Disgust
F,Anger
F,Happiness
F,Disgust
F,Anger
F,Anger
M,Anger
M,Anger
F,Anger
F,Fear
M,Disgust
M,Happiness
F,Anger
F,Happiness
F,Fear
M,Disgust
F,Anger
F,Happiness
M,Anger
F,Anger
F,Anger
F,Anger
M,Fear
M,Happiness
F,Anger
M,Fear
M,Happiness
F,Anger
M,Anger
F,Happiness
F,Anger
M,Sadness
M,Happiness
F,Disgust
M,Anger
M,Happiness
F,Anger
F,Happiness
M,Anger
M,Surprise
F,Happiness
M,Disgust
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
M,Disgust
F,Anger
F,Anger
F,Disgust
F,Anger
F,Happiness
M,Anger
F,Anger
M,Happiness
M,Happiness
F,Fear
F,Happiness
F,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Surprise
M,Happiness
M,Surprise
F,Fear
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Surprise
F,Surprise
M,Surprise
M,Happiness
F,Fear
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Fear
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Surprise
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Surprise
F,Surprise
F,Happiness
F,Happiness
F,NA
M,Happiness
F,Fear
M,Anger
M,Happiness
F,Surprise
F,Happiness
F,Anger
F,Happiness
F,Happiness
F,Surprise
F,Happiness
M,Disgust
M,Happiness
F,Happiness
F,Fear
M,Happiness
M,Anger
F,Happiness
F,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Anger
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Anger
M,Surprise
M,Happiness
F,Happiness
M,Disgust
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Surprise
F,Surprise
F,Happiness
M,Disgust
F,Disgust
F,Surprise
F,Surprise
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Fear
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Disgust
M,Disgust
F,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Fear
F,Fear
M,Anger
M,Sadness
F,Anger
F,Fear
M,Anger
M,Anger
F,Disgust
F,Disgust
F,Anger
M,Fear
F,Anger
F,Disgust
M,Anger
F,Anger
F,Fear
F,Anger
M,Disgust
M,Fear
F,Disgust
M,Anger
M,Sadness
F,Anger
M,Anger
F,Disgust
F,Anger
M,Anger
M,Anger
F,Anger
M,Disgust
M,Anger
F,Anger
F,Disgust
M,Anger
M,Anger
F,Anger
M,Disgust
F,Anger
F,Anger
F,Disgust
F,Anger
F,Anger
F,Fear
F,Anger
M,Anger
F,Anger
F,Anger
F,Anger
F,Anger
F,Disgust
M,Anger
F,Anger
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Surprise
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Fear
F,Happiness
M,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Disgust
M,Disgust
F,Disgust
F,Disgust
F,Disgust
F,Fear
F,Anger
F,Sadness
F,Anger
M,Sadness
M,Sadness
F,Anger
F,Fear
M,Disgust
M,Anger
F,Anger
F,Sadness
F,Disgust
M,Fear
F,Disgust
F,Anger
M,Anger
F,Anger
F,Anger
F,Anger
M,Anger
M,Happiness
F,Anger
M,Anger
M,Surprise
F,Disgust
M,Sadness
F,Anger
F,Sadness
M,Sadness
M,Anger
F,Disgust
M,Disgust
M,Disgust
F,Anger
F,Disgust
M,Disgust
M,Disgust
F,Anger
M,Surprise
F,Anger
F,Sadness
F,Anger
F,Sadness
F,Disgust
F,Anger
F,Anger
M,Disgust
F,Disgust
F,Disgust
F,Disgust
F,Anger
F,Sadness
M,Anger
F,Anger
M,Surprise
M,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
M,Surprise
M,Surprise
F,Surprise
F,Happiness
M,Surprise
M,Surprise
F,Surprise
F,Surprise
F,Surprise
M,Surprise
F,Surprise
F,Surprise
M,Surprise
F,Happiness
F,Surprise
F,Surprise
M,Surprise
M,Surprise
F,Surprise
M,Surprise
M,Surprise
F,Surprise
M,Surprise
F,Surprise
F,Surprise
M,Surprise
M,Surprise
F,Surprise
M,Surprise
M,Surprise
F,Surprise
F,Surprise
M,Surprise
M,Happiness
F,Surprise
M,Surprise
F,Surprise
F,Fear
F,Surprise
F,Surprise
F,Sadness
F,Surprise
F,Surprise
M,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
F,Surprise
M,Surprise
F,Happiness
M,Anger
M,Disgust
F,Disgust
F,Disgust
F,Anger
F,Disgust
F,Disgust
F,Disgust
F,Disgust
M,Disgust
M,Anger
F,Disgust
F,Sadness
M,Disgust
M,Anger
F,Anger
F,Happiness
F,Surprise
M,Happiness
F,Disgust
F,Happiness
M,Anger
F,Happiness
F,Disgust
F,Happiness
M,Surprise
M,Surprise
F,Disgust
M,Disgust
M,Surprise
F,Surprise
M,Happiness
F,Happiness
F,Anger
M,Happiness
M,Happiness
F,Happiness
M,Disgust
M,Disgust
F,Disgust
F,Happiness
M,Disgust
M,Surprise
F,Happiness
M,Surprise
F,Anger
F,Anger
F,Disgust
F,Happiness
F,Surprise
F,Disgust
F,Anger
M,Happiness
F,Anger
F,Disgust
F,Disgust
F,Happiness
F,Anger
M,Disgust
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Fear
F,Anger
F,Happiness
F,Happiness
F,Disgust
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Sadness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Sadness
M,Happiness
M,Happiness
F,Sadness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Disgust
M,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Anger
F,Happiness
F,Happiness
M,Happiness
F,Anger
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Sadness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Sadness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Disgust
F,Happiness
F,Happiness
F,Sadness
M,Sadness
M,Happiness
F,Happiness
M,Happiness
M,Surprise
F,Happiness
M,Happiness
F,Disgust
F,Happiness
M,Sadness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Disgust
M,Disgust
M,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Sadness
F,Happiness
M,Happiness
F,Happiness
F,Surprise
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Surprise
M,Happiness
F,Surprise
F,Happiness
F,Happiness
F,Disgust
F,Fear
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Disgust
M,Anger
F,Surprise
F,Happiness
F,Happiness
M,Sadness
F,Happiness
F,Disgust
M,Disgust
F,Happiness
F,Sadness
F,Sadness
M,Sadness
M,Disgust
F,Happiness
M,Fear
M,Surprise
F,Happiness
M,Happiness
F,Sadness
F,Happiness
M,Sadness
M,Happiness
F,Sadness
M,Happiness
M,Happiness
F,Anger
F,Disgust
M,Disgust
M,Happiness
F,Happiness
M,Surprise
F,Disgust
F,Happiness
F,Disgust
F,Happiness
F,Fear
F,Sadness
F,Happiness
M,Happiness
F,Happiness
F,Surprise
F,Happiness
F,Happiness
F,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Sadness
F,Disgust
F,Happiness
F,Happiness
F,Happiness
F,Surprise
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Anger
F,Happiness
F,Happiness
M,Happiness
F,Anger
F,Anger
M,Happiness
F,Happiness
F,Anger
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Anger
M,Happiness
F,Anger
M,Disgust
F,Happiness
F,Anger
M,Happiness
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Happiness
F,Anger
M,Sadness
M,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Happiness
F,Anger
M,Happiness
F,Happiness
F,Happiness
F,Anger
F,Happiness
F,Happiness
M,Anger
F,Happiness
M,Surprise
M,Sadness
F,Sadness
F,Fear
F,Surprise
F,Happiness
F,Fear
F,Surprise
F,Surprise
M,Happiness
M,Sadness
F,Disgust
F,Sadness
M,Happiness
M,Fear
F,Surprise
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Sadness
F,Surprise
F,Disgust
F,Happiness
M,Disgust
M,Sadness
F,Fear
M,Fear
M,Sadness
F,Surprise
M,Surprise
F,Happiness
F,Sadness
M,Happiness
M,Happiness
F,Fear
M,Happiness
M,Happiness
F,Sadness
F,Happiness
M,Surprise
M,Happiness
F,Happiness
M,Surprise
F,Happiness
F,Sadness
F,Surprise
F,Happiness
F,Surprise
F,Sadness
F,Happiness
M,Sadness
F,Happiness
F,Surprise
F,Surprise
F,Disgust
F,Fear
M,Fear
F,Happiness
M,Anger
M,Anger
F,Fear
F,Disgust
F,Anger
F,Anger
F,Anger
F,Anger
F,Fear
M,Anger
M,Anger
F,Anger
F,Fear
M,Anger
M,Anger
F,Anger
F,Sadness
F,Anger
M,Sadness
F,Anger
F,Anger
M,Anger
F,Anger
F,Anger
F,Anger
M,Fear
M,Disgust
F,Fear
M,Anger
M,Anger
F,Fear
M,Anger
F,Anger
F,Sadness
M,Sadness
M,Anger
F,Anger
M,Anger
M,Anger
F,Anger
F,Surprise
M,Anger
M,Fear
F,Anger
M,Disgust
F,Anger
F,Anger
F,Anger
F,Anger
F,Sadness
F,Anger
F,Fear
M,Anger
F,Anger
F,Disgust
F,Surprise
F,Anger
F,Sadness
M,Anger
F,Fear
M,Anger
M,Happiness
F,Disgust
F,Happiness
F,Anger
F,Happiness
F,Happiness
F,Anger
F,Anger
M,Anger
M,Happiness
F,Happiness
F,Fear
M,Happiness
M,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Anger
F,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Anger
F,Happiness
M,Happiness
M,Disgust
F,Happiness
M,Happiness
M,Happiness
F,Happiness
M,Happiness
F,Happiness
F,Happiness
M,Anger
M,Happiness
F,Happiness
M,Happiness
M,Happiness
F,Anger
F,Anger
M,Anger
M,Fear
F,Surprise
M,Happiness
F,Happiness
F,Happiness
F,Disgust
F,Happiness
F,Happiness
F,Happiness
F,Happiness
M,Happiness
